parcel,elevation,ndvi,lai,diseased
"[[506; 627], [507; 630], [533; 624], [532; 621]]",207.0934930098684,-0.2048868837609755,0.0571431788888992,0
"[[532; 621], [533; 624], [558; 619], [557; 616]]",206.9543434633028,-0.1866820653279622,0.0554118216027022,0
"[[557; 616], [558; 619], [584; 613], [583; 610]]",206.8889802631579,0.0015900553318492,0.1425135833210618,0
"[[583; 610], [584; 613], [609; 607], [608; 604]]",206.67961647727276,-0.0503874171863902,0.1105637291456257,0
"[[608; 604], [609; 607], [633; 602], [632; 599]]",206.41834077380952,-0.0112153893425351,0.1318925674774567,0
"[[365; 645], [366; 648], [391; 642], [390; 639]]",208.68148082386364,-0.2375079761851917,0.0362252489745941,0
"[[390; 639], [391; 642], [416; 636], [415; 633]]",208.3827237215909,-0.2808076001088553,0.0258884387862566,1
"[[415; 633], [416; 636], [442; 630], [441; 627]]",208.1027960526316,-0.2371137482779366,0.0300936594897286,0
"[[441; 627], [442; 630], [467; 624], [466; 621]]",207.78650568181817,-0.2619890906594016,0.0344843888291135,0
"[[466; 621], [467; 624], [492; 618], [491; 615]]",207.5163884943182,-0.2584750088778409,0.0285104693539406,0
"[[491; 615], [492; 618], [518; 613], [517; 610]]",207.28693653207964,-0.2462659852694621,0.0363788689326566,0
"[[517; 610], [518; 613], [543; 607], [542; 604]]",207.280078125,-0.0549597346454585,0.1052775804892963,0
"[[542; 604], [543; 607], [568; 601], [567; 598]]",206.96516335227275,-0.1253169050840573,0.0747221791452278,0
"[[567; 598], [568; 601], [594; 595], [593; 592]]",206.75654468201756,-0.1013569536462294,0.0871951156738775,0
"[[593; 592], [594; 595], [619; 589], [618; 586]]",206.3489346590909,-0.2566907535899769,0.0395218128897408,0
"[[618; 586], [619; 589], [641; 585], [640; 582]]",206.3899332682292,-0.0197980809719004,0.1314852568148265,0
"[[350; 633], [351; 637], [376; 631], [375; 627]]",208.907689895073,-0.2202868496414518,0.0385235910256319,0
"[[375; 627], [376; 631], [401; 625], [400; 621]]",208.69807823905109,-0.2533136075430542,0.0304627364445716,0
"[[400; 621], [401; 625], [427; 619], [426; 615]]",208.3951914612676,-0.2390398336640486,0.05023623846252,0
"[[426; 615], [427; 619], [452; 613], [451; 609]]",207.9982322080292,-0.2486310846665326,0.046583070678689,0
"[[451; 609], [452; 613], [477; 607], [476; 603]]",207.78470004562044,-0.2477046938708229,0.051959309932232,0
"[[477; 603], [478; 607], [503; 601], [502; 597]]",207.49284329379563,-0.2478440228630514,0.048984625290066,0
"[[502; 597], [503; 601], [528; 596], [527; 592]]",207.28558708639707,-0.1254239643321317,0.0853506035882471,0
